loc,folio,line_order,token_position,token,role,module,status,meta_I,meta_L,meta_H,line_marker_family,stratum_I_L_H_marker,semantic_function,pass20_tier
"f1r.3,+P0",f1r,3,1,syaiir,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.3,+P0",f1r,3,2,sheky,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.3,+P0",f1r,3,3,or,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.3,+P0",f1r,3,4,ykaiin,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.3,+P0",f1r,3,5,shod,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.3,+P0",f1r,3,6,cthoary,R04,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.3,+P0",f1r,3,7,cthes,R04,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.3,+P0",f1r,3,8,daraiin,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.3,+P0",f1r,3,9,sy,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.5,+P0",f1r,5,1,sairy,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.5,+P0",f1r,5,2,chear,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.5,+P0",f1r,5,3,cthaiin,R04,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.5,+P0",f1r,5,4,cphar,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.5,+P0",f1r,5,5,cfhaiin,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.6,=Pt",f1r,6,1,ydaraishy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.8,+P0",f1r,8,1,yshey,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.8,+P0",f1r,8,2,shody,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.8,+P0",f1r,8,3,okchoy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.8,+P0",f1r,8,4,otchol,R07,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.8,+P0",f1r,8,5,chocthy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.8,+P0",f1r,8,6,oschy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.8,+P0",f1r,8,7,dain,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.8,+P0",f1r,8,8,chor,R11,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.8,+P0",f1r,8,9,kos,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.10,=Pt",f1r,10,1,dain,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.10,=Pt",f1r,10,2,os,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.10,=Pt",f1r,10,3,teody,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.20,+P0",f1r,20,1,shok,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.20,+P0",f1r,20,2,chor,R11,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.20,+P0",f1r,20,3,chey,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.20,+P0",f1r,20,4,dain,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.20,+P0",f1r,20,5,ckhey,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1r.28,=Pt",f1r,28,1,dchaiin,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE
"f1v.2,+P0",f1v,30,1,yteey,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.2,+P0",f1v,30,2,char,R11,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.2,+P0",f1v,30,3,or,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.2,+P0",f1v,30,4,ochy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
"f1v.2,+P0",f1v,30,5,dcho,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE
