loc,folio,line_order,tokens,neutral_roles,pass20_tier,tier_simple,pass16h_final_status,module_short,semantic_function,meta_I,meta_L,meta_H,line_marker_family,functional_gloss_sequence,functional_pseudotranslation,external_translation_status
"f1r.3,+P0",f1r,3,syaiir sheky or ykaiin shod cthoary cthes daraiin sy,R06 R06 R06 R06 R06 R04 R04 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD FUNC-PARTICLE LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD,LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f1r.5,+P0",f1r,5,sairy chear cthaiin cphar cfhaiin,R06 R00 R04 R00 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f1r.6,=Pt",f1r,6,ydaraishy,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,A,1,paragraph_terminal_or_label,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f1r.8,+P0",f1r,8,yshey shody okchoy otchol chocthy oschy dain chor kos,R06 R06 R00 R07 R00 R00 R06 R11 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD FUNC-PARTICLE LABEL-LEX LABEL-FIELD,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE / LABEL-LEX / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f1r.10,=Pt",f1r,10,dain os teody,R06 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,A,1,paragraph_terminal_or_label,FUNC-PARTICLE LABEL-FIELD LABEL-FIELD,FUNC-PARTICLE / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f1r.20,+P0",f1r,20,shok chor chey dain ckhey,R06 R11 R06 R06 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,A,1,paragraph_continuation,LABEL-FIELD LABEL-LEX FUNC-PARTICLE FUNC-PARTICLE LABEL-FIELD,LABEL-FIELD / LABEL-LEX / FUNC-PARTICLE / FUNC-PARTICLE / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f1r.28,=Pt",f1r,28,dchaiin,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,A,1,paragraph_terminal_or_label,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f1v.2,+P0",f1v,30,yteey char or ochy dcho lkody okodar chody,R06 R11 R06 R00 R06 R00 R00 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,ARG-LEX LABEL-FIELD FUNC-PARTICLE LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD LABEL-FIELD,ARG-LEX / LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f1v.3,+P0",f1v,31,dackhy ckhockhy shy dksheey cthy kotchody dal,R06 R00 R06 R00 R04 R00 R09,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-FIELD FUNC-PARTICLE LABEL-FIELD LABEL-FIELD LABEL-FIELD FUNC-PARTICLE,LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f2r.11,+P0",f2r,49,ychain dal chy dalor shan dan olsaiin sheey ckhor,R06 R09 R00 R09 R06 R06 R00 R06 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD FUNC-PARTICLE FUNC-PARTICLE QUAL/TAIL LABEL-FIELD LABEL-FIELD LABEL-FIELD FUNC-PARTICLE LABEL-FIELD,LABEL-FIELD / FUNC-PARTICLE / FUNC-PARTICLE / QUAL/TAIL / LABEL-FIELD / LABEL-FIELD / LABEL-FIELD / FUNC-PARTICLE / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f2r.14,@Lp",f2r,52,ytoail,R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,label_or_marginal,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f2r.15,@L0",f2r,53,ios an on,R00 R00 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,label_or_marginal,LABEL-FIELD LABEL-FIELD LABEL-FIELD,LABEL-FIELD / LABEL-FIELD / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f3r.5,+P0",f3r,66,qokol chololy s cham cthol,H08 R07 R06 R00 R07,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,H,A,1,paragraph_continuation,FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL ARG/FILL,FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f3r.8,+P0",f3r,69,ysheor chor chol oky dago,R06 R11 R07 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,H,A,1,paragraph_continuation,LABEL-FIELD LABEL-LEX FUNC-PARTICLE FUNC-PARTICLE LABEL-FIELD,LABEL-FIELD / LABEL-LEX / FUNC-PARTICLE / FUNC-PARTICLE / LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
